time_sec,command,x,y,vx,vy,raw_can_id,raw_can_data,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26,lookahead1,lookahead2
1.820,,,,,,0x18f,"[90, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.824,,,,,,0x18f,"[93, 247, 192, 236, 0, 0, 0, 0]",,,,,,,,
1.829,,,,,,0x18b,"[3, 0, 131, 5, 0, 0, 4, 0]",,,,,,,,
1.833,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.837,,,,,,0x23a,"[114, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
1.841,,,,,,0x70c,[5],,,,,,,,
1.847,,,,,,0x701,[5],,,,,,,,
1.853,,,,,,0x18a,"[3, 0, 137, 5, 0, 0, 2, 0]",,,,,,,,
1.856,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.860,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.866,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
1.868,,,,,,0x18f,"[95, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.871,,,,,,0x23a,"[130, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
1.874,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.877,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.880,,,,,,0x0,"[128, 16]",,,,,,,,
1.883,,,,,,0x18b,"[3, 0, 131, 5, 0, 0, 4, 0]",,,,,,,,
1.885,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.888,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.890,,,,,,0x18c,"[3, 0, 144, 5, 0, 0, 1, 0]",,,,,,,,
1.894,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
1.899,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.902,,,,,,0x18a,"[3, 0, 137, 5, 0, 0, 2, 0]",,,,,,,,
1.904,,,,,,0x80,[],,,,,,,,
1.907,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.910,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.913,,,,,,0x58d,"[75, 4, 32, 6, 17, 0, 0, 0]",,,,,,,,
1.916,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.919,,,,,,0x70d,[5],,,,,,,,
1.922,,,,,,0x18f,"[65, 247, 192, 236, 0, 0, 0, 0]",,,,,,,,
1.924,,,,,,0x18f,"[92, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.933,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.935,,,,,,0x23a,"[162, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
1.938,,,,,,0x701,[5],,,,,,,,
1.941,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.946,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.951,,,,,,0x18f,"[71, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.953,,,,,,0x4,"[0, 4, 0, 0, 0, 0, 0, 96]",,,,,,,,
1.956,,,,,,0x18ef7000,"[208, 0, 255, 255, 255, 255, 255, 255]",,,,,,,,
1.959,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
1.961,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.963,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.967,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.970,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.973,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.976,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
1.978,,,,,,0x18c,"[3, 0, 145, 5, 0, 0, 2, 0]",,,,,,,,
1.981,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.983,,,,,,0x18a,"[3, 0, 137, 5, 0, 0, 1, 0]",,,,,,,,
1.987,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
1.989,,,,,,0x23a,"[194, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
1.992,,,,-0.008,0.000,,,,,,,,,,
1.993,,,,,,,,,,,,,,1.029,-2.471
2.011,,,,,,0x80,[],,,,,,,,
2.016,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.017,,,,,,,,,,,,,,1.029,-2.471
2.028,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.033,,,,,,0x18d,"[3, 0, 131, 5, 0, 0, 1, 0]",,,,,,,,
2.034,,-0.001,-0.000,,,,,,,,,,,,
2.038,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,,,
2.042,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.050,,,,,,0x18f,"[73, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.056,,,,,,0x18b,"[3, 0, 131, 5, 0, 0, 4, 0]",,,,,,,,
2.059,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.062,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.065,,,,,,0x701,[5],,,,,,,,
2.073,,,,,,0x18a,"[3, 0, 137, 5, 0, 0, 2, 0]",,,,,,,,
2.080,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
2.083,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.085,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.087,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.090,,,,,,0x18f,"[65, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.092,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.094,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.096,,,,,,0x18f,"[97, 247, 208, 236, 0, 0, 0, 0]",,,,,,,,
2.099,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,,,
2.101,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.103,,,,,,0x23a,"[242, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
2.107,,,,,,0x70c,[5],,,,,,,,
2.111,,,,,,0x701,[5],,,,,,,,
2.114,,,,,,0x70a,[5],,,,,,,,
2.116,,,,,,0x18f,"[97, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.119,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.123,,,,,,0x18ef7200,"[208, 0, 255, 255, 255, 255, 255, 255]",,,,,,,,
2.126,,,,,,0x18f,"[69, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.130,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 42]",,,,,,,,
2.132,,,,,,0x38e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.136,,,,,,0x18d,"[3, 0, 131, 5, 0, 0, 2, 0]",,,,,,,,
2.138,,,,,,0x70e,"[5, 66, 70, 27, 0, 71, 52, 54]",,,,,,,,
2.142,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.146,,,,,,0x60c,"[64, 4, 32, 6, 0, 0, 0, 0]",,,,,,,,
2.149,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.152,,,,,,0x18f,"[69, 247, 224, 236, 0, 0, 0, 0]",,,,,,,,
2.154,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.162,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.171,,,,,,0x701,[5],,,,,,,,
2.174,,,,,,0x18c,"[3, 0, 144, 5, 0, 0, 1, 0]",,,,,,,,
2.177,,,,,,0x18a,"[3, 0, 137, 5, 0, 0, 2, 0]",,,,,,,,
2.186,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,,,
2.190,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.193,,,,,,0x23a,"[18, 0, 0, 0, 16, 33, 0, 0]",,,,,,,,
2.195,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.199,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.205,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.208,,,,,,0x70d,[5],,,,,,,,
2.216,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.221,,,,,,0x58a,"[75, 4, 32, 6, 17, 0, 0, 0]",,,,,,,,
2.224,,,,,,0x4,"[0, 16, 0, 0, 0, 0, 0, 127]",,,,,,,,
2.226,,,,,,0x4,"[0, 16, 0, 0, 0, 0, 0, 127]",,,,,,,,
2.235,,,,,,0x18b,"[3, 0, 130, 5, 0, 0, 4, 0]",,,,,,,,
2.241,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,
2.249,,,,,,0x701,[5],,,,,,,,
