time_sec,a,b,s1,s2,s3,ds1,ds2,ds3,w1,w2,w3,i1,i2,i3,lookahead1,lookahead2,x,y,vx,vy,raw_can_id,raw_can_data,pdo_position_mm_22,pdo_speed_mms_22,pdo_position_mm_24,pdo_speed_mms_24,pdo_position_mm_26,pdo_speed_mms_26
1.261,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 143, 236, 0, 0, 0, 0]",,,,,,
1.263,,,,,,,,,,,,,,,,,,,,,0x18f,"[143, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.265,,,,,,,,,,,,,,,,,,,,,0x80,[],,,,,,
1.267,,,,,,,,,,,,,,,,,,,,,0x60b,"[64, 4, 32, 6, 0, 0, 0, 0]",,,,,,
1.277,,,,,,,,,,,,,,,,,,,,,0x58b,"[75, 4, 32, 6, 18, 0, 0, 0]",,,,,,
1.280,,,,,,,,,,,,,,,,,,,,,0x18f,"[129, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.283,,,,,,,,,,,,,,,,,,,,,0x20f,"[0, 143, 255, 48, 1]",,,,,,
1.285,,,,,,,,,,,,,,,,,,,,,0x28e,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.299,,,,,,,,,,,,,,,,,,,,,0x23a,"[50, 0, 0, 0, 16, 33, 0, 0]",,,,,,
1.302,,,,,,,,,,,,,,,,,,,,,0x20b,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.305,,,,,,,,,,,,,,,,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.307,,,,,,,,,,,,,,,,,,,,,0x18b,"[3, 0, 128, 5, 0, 0, 1, 0]",,,,,,
1.310,,,,,,,,,,,,,,,,,,,,,0x18d,"[3, 0, 128, 5, 0, 0, 0, 0]",,,,,,
1.311,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.314,,,,,,,,,,,,,,,,,,,,,0x18a,"[3, 0, 134, 5, 0, 0, 0, 0]",,,,,,
1.321,,,,,,,,,,,,,,,,,,,,,0x18e,"[4, 0, 0, 0, 0, 0, 0, 41]",,,,,,
1.326,,,,,,,,,,,,,,,,,,,,,0x23a,"[66, 0, 0, 0, 16, 33, 0, 0]",,,,,,
1.329,,,,,,,,,,,,,,,,,,,,,0x18f,"[161, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.340,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.342,,,,,,,,,,,,,,,,,,,,,0x20a,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.345,,,,,,,,,,,,,,,,,,,,,0x18f,"[161, 247, 160, 236, 0, 0, 0, 0]",,,,,,
1.350,,,,,,,,,,,,,,,,,,,,,0x58c,"[75, 4, 32, 6, 16, 0, 0, 0]",,,,,,
1.356,,,,,,,,,,,,,,,,,,,,,0x20c,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
1.360,,,,,,,,,,,,,,,,,,,,,0x20d,"[2, 0, 0, 0, 0, 0, 0, 0]",,,,,,
